voyage_id,raw_text,event_type,start_time,end_time
V005,12/04/2025 19:00 – Ship sailed from berth,DEPARTURE,2025-04-12T19:00:00,
V006,12/04/2025 12:00 – Arrived at outer anchorage,ARRIVAL,2025-04-12T12:00:00,
V006,12/04/2025 15:00 – Pilot boarded at anchorage,PILOT_ONBOARD,2025-04-12T15:00:00,
V006,12/04/2025 20:00 – Secured alongside jetty 1,BERTHING,2025-04-12T20:00:00,
V006,13/04/2025 04:00 – Commenced loading cargo,LOADING_START,2025-04-13T04:00:00,
V006,13/04/2025 05:00 – Loading operations ended,LOADING_END,,2025-04-13T05:00:00
V006,13/04/2025 08:00 – Ship moved from jetty 1 to 4,SHIFTING,2025-04-13T08:00:00,
V006,13/04/2025 11:00 – Discharging began at berth 1,DISCHARGING_START,2025-04-13T11:00:00,
V006,13/04/2025 15:00 – Discharge ops ended,DISCHARGING_END,,2025-04-13T15:00:00
V006,13/04/2025 21:00 – Vessel left port limits,DEPARTURE,2025-04-13T21:00:00,
V007,14/04/2025 09:00 – Anchored at port limits,ARRIVAL,2025-04-14T09:00:00,
V007,14/04/2025 17:00 – Pilot on board,PILOT_ONBOARD,2025-04-14T17:00:00,
V007,15/04/2025 00:00 – All fast at berth 2,BERTHING,2025-04-15T00:00:00,
V007,15/04/2025 03:00 – Started cargo operations,LOADING_START,2025-04-15T03:00:00,
V007,15/04/2025 09:00 – Completed loading cargo,LOADING_END,,2025-04-15T09:00:00
V007,15/04/2025 11:00 – Shifted alongside berth {jetty2},SHIFTING,2025-04-15T11:00:00,
V007,15/04/2025 17:00 – Commenced discharging cargo,DISCHARGING_START,2025-04-15T17:00:00,
V007,16/04/2025 01:00 – Completed discharging cargo,DISCHARGING_END,,2025-04-16T01:00:00
V007,16/04/2025 05:00 – Ship sailed from berth,DEPARTURE,2025-04-16T05:00:00,
V008,15/04/2025 13:00 – Vessel arrived at anchorage,ARRIVAL,2025-04-15T13:00:00,
V008,15/04/2025 15:00 – Pilot boarded at anchorage,PILOT_ONBOARD,2025-04-15T15:00:00,
V008,15/04/2025 23:00 – Ship alongside berth 1,BERTHING,2025-04-15T23:00:00,
V008,16/04/2025 01:00 – Loading operations began,LOADING_START,2025-04-16T01:00:00,
V008,16/04/2025 03:00 – Finished cargo operations,LOADING_END,,2025-04-16T03:00:00
V008,16/04/2025 05:00 – Shifted alongside berth {jetty2},SHIFTING,2025-04-16T05:00:00,
V008,16/04/2025 11:00 – Discharging began at berth 1,DISCHARGING_START,2025-04-16T11:00:00,
V008,16/04/2025 13:00 – Discharging operations completed,DISCHARGING_END,,2025-04-16T13:00:00
V008,16/04/2025 17:00 – Vessel departed from port,DEPARTURE,2025-04-16T17:00:00,
V009,18/04/2025 11:00 – Anchored at port limits,ARRIVAL,2025-04-18T11:00:00,
V009,18/04/2025 18:00 – Pilot on board,PILOT_ONBOARD,2025-04-18T18:00:00,
V009,18/04/2025 23:00 – All fast at berth 4,BERTHING,2025-04-18T23:00:00,
V009,19/04/2025 03:00 – Started cargo operations,LOADING_START,2025-04-19T03:00:00,
V009,19/04/2025 09:00 – Cargo loading completed,LOADING_END,,2025-04-19T09:00:00
V009,19/04/2025 15:00 – Shifted alongside berth {jetty2},SHIFTING,2025-04-19T15:00:00,
V009,19/04/2025 17:00 – Discharging began at berth 4,DISCHARGING_START,2025-04-19T17:00:00,
V009,19/04/2025 20:00 – Discharging operations completed,DISCHARGING_END,,2025-04-19T20:00:00
V009,20/04/2025 03:00 – Vessel left port limits,DEPARTURE,2025-04-20T03:00:00,
V010,20/04/2025 07:00 – Arrived at outer anchorage,ARRIVAL,2025-04-20T07:00:00,
V010,20/04/2025 11:00 – Pilot embarked vessel,PILOT_ONBOARD,2025-04-20T11:00:00,
V010,20/04/2025 18:00 – All fast at berth 3,BERTHING,2025-04-20T18:00:00,
V010,20/04/2025 19:00 – Started cargo operations,LOADING_START,2025-04-20T19:00:00,
V010,21/04/2025 00:00 – Loading operations ended,LOADING_END,,2025-04-21T00:00:00
V010,21/04/2025 05:00 – Shifted alongside berth {jetty2},SHIFTING,2025-04-21T05:00:00,
V010,21/04/2025 06:00 – Discharging began at berth 3,DISCHARGING_START,2025-04-21T06:00:00,
V010,21/04/2025 07:00 – Finished discharging,DISCHARGING_END,,2025-04-21T07:00:00
V010,21/04/2025 13:00 – Vessel departed from port,DEPARTURE,2025-04-21T13:00:00,
V011,21/04/2025 09:00 – Arrived at outer anchorage,ARRIVAL,2025-04-21T09:00:00,
V011,21/04/2025 14:00 – Pilot on board,PILOT_ONBOARD,2025-04-21T14:00:00,
V011,21/04/2025 20:00 – Vessel berthed at Jetty 1,BERTHING,2025-04-21T20:00:00,
V011,22/04/2025 00:00 – Began loading at jetty 1,LOADING_START,2025-04-22T00:00:00,
V011,22/04/2025 02:00 – Finished cargo operations,LOADING_END,,2025-04-22T02:00:00
V011,22/04/2025 06:00 – Ship moved from jetty 1 to 4,SHIFTING,2025-04-22T06:00:00,
V011,22/04/2025 12:00 – Discharge ops commenced,DISCHARGING_START,2025-04-22T12:00:00,
V011,22/04/2025 17:00 – Discharge ops ended,DISCHARGING_END,,2025-04-22T17:00:00
V011,22/04/2025 19:00 – Ship sailed from berth,DEPARTURE,2025-04-22T19:00:00,
V012,24/04/2025 12:00 – Ship reached port anchorage,ARRIVAL,2025-04-24T12:00:00,
V012,24/04/2025 19:00 – Pilot embarked vessel,PILOT_ONBOARD,2025-04-24T19:00:00,
V012,25/04/2025 02:00 – Ship alongside berth 4,BERTHING,2025-04-25T02:00:00,
V012,25/04/2025 08:00 – Loading operations began,LOADING_START,2025-04-25T08:00:00,
V012,25/04/2025 12:00 – Completed loading cargo,LOADING_END,,2025-04-25T12:00:00
V012,25/04/2025 15:00 – Vessel shifted to another berth,SHIFTING,2025-04-25T15:00:00,
V012,25/04/2025 19:00 – Discharging began at berth 4,DISCHARGING_START,2025-04-25T19:00:00,
V012,26/04/2025 01:00 – Discharge ops ended,DISCHARGING_END,,2025-04-26T01:00:00
V012,26/04/2025 04:00 – Vessel left port limits,DEPARTURE,2025-04-26T04:00:00,
V013,26/04/2025 07:00 – Arrived at outer anchorage,ARRIVAL,2025-04-26T07:00:00,
V013,26/04/2025 12:00 – Pilot embarked vessel,PILOT_ONBOARD,2025-04-26T12:00:00,
V013,26/04/2025 20:00 – Secured alongside jetty 4,BERTHING,2025-04-26T20:00:00,
V013,27/04/2025 03:00 – Began loading at jetty 4,LOADING_START,2025-04-27T03:00:00,
V013,27/04/2025 04:00 – Loading operations ended,LOADING_END,,2025-04-27T04:00:00
V013,27/04/2025 06:00 – Vessel shifted to another berth,SHIFTING,2025-04-27T06:00:00,
V013,27/04/2025 11:00 – Started discharging operations,DISCHARGING_START,2025-04-27T11:00:00,
V013,27/04/2025 19:00 – Completed discharging cargo,DISCHARGING_END,,2025-04-27T19:00:00
V013,27/04/2025 22:00 – Vessel departed from port,DEPARTURE,2025-04-27T22:00:00,
V014,29/04/2025 11:00 – Vessel arrived at anchorage,ARRIVAL,2025-04-29T11:00:00,
V014,29/04/2025 18:00 – Pilot on board,PILOT_ONBOARD,2025-04-29T18:00:00,
V014,29/04/2025 20:00 – All fast at berth 5,BERTHING,2025-04-29T20:00:00,
V014,29/04/2025 23:00 – Loading operations began,LOADING_START,2025-04-29T23:00:00,
V014,30/04/2025 05:00 – Finished cargo operations,LOADING_END,,2025-04-30T05:00:00
V014,30/04/2025 12:00 – Ship moved from jetty 5 to 4,SHIFTING,2025-04-30T12:00:00,
V014,30/04/2025 15:00 – Discharge ops commenced,DISCHARGING_START,2025-04-30T15:00:00,
V014,30/04/2025 16:00 – Finished discharging,DISCHARGING_END,,2025-04-30T16:00:00
V014,30/04/2025 22:00 – Sailed from anchorage,DEPARTURE,2025-04-30T22:00:00,
V015,02/05/2025 11:00 – Arrived at outer anchorage,ARRIVAL,2025-05-02T11:00:00,
V015,02/05/2025 18:00 – Pilot on board,PILOT_ONBOARD,2025-05-02T18:00:00,
V015,03/05/2025 00:00 – Secured alongside jetty 5,BERTHING,2025-05-03T00:00:00,
V015,03/05/2025 03:00 – Started cargo operations,LOADING_START,2025-05-03T03:00:00,
V015,03/05/2025 09:00 – Finished cargo operations,LOADING_END,,2025-05-03T09:00:00
V015,03/05/2025 11:00 – Vessel shifted to another berth,SHIFTING,2025-05-03T11:00:00,
V015,03/05/2025 16:00 – Discharging began at berth 5,DISCHARGING_START,2025-05-03T16:00:00,
V015,03/05/2025 22:00 – Discharge ops ended,DISCHARGING_END,,2025-05-03T22:00:00
V015,04/05/2025 00:00 – Sailed from anchorage,DEPARTURE,2025-05-04T00:00:00,
V016,03/05/2025 07:00 – Anchored at port limits,ARRIVAL,2025-05-03T07:00:00,
V016,03/05/2025 15:00 – Pilot boarded at anchorage,PILOT_ONBOARD,2025-05-03T15:00:00,
V016,03/05/2025 16:00 – Ship alongside berth 3,BERTHING,2025-05-03T16:00:00,
V016,03/05/2025 18:00 – Commenced loading cargo,LOADING_START,2025-05-03T18:00:00,
V016,03/05/2025 23:00 – Completed loading cargo,LOADING_END,,2025-05-03T23:00:00
V016,04/05/2025 01:00 – Ship moved from jetty 3 to 2,SHIFTING,2025-05-04T01:00:00,
V016,04/05/2025 06:00 – Started discharging operations,DISCHARGING_START,2025-05-04T06:00:00,
V016,04/05/2025 12:00 – Discharging operations completed,DISCHARGING_END,,2025-05-04T12:00:00
V016,04/05/2025 15:00 – Vessel left port limits,DEPARTURE,2025-05-04T15:00:00,
V017,04/05/2025 12:00 – Vessel arrived at anchorage,ARRIVAL,2025-05-04T12:00:00,
V017,04/05/2025 18:00 – Pilot boarded at anchorage,PILOT_ONBOARD,2025-05-04T18:00:00,
V017,04/05/2025 19:00 – Secured alongside jetty 3,BERTHING,2025-05-04T19:00:00,
V017,05/05/2025 01:00 – Started cargo operations,LOADING_START,2025-05-05T01:00:00,
V017,05/05/2025 06:00 – Completed loading cargo,LOADING_END,,2025-05-05T06:00:00
V017,05/05/2025 14:00 – Shifting from berth 3 to berth 5,SHIFTING,2025-05-05T14:00:00,
V017,05/05/2025 20:00 – Discharging began at berth 3,DISCHARGING_START,2025-05-05T20:00:00,
V017,06/05/2025 01:00 – Discharge ops ended,DISCHARGING_END,,2025-05-06T01:00:00
V017,06/05/2025 09:00 – Vessel left port limits,DEPARTURE,2025-05-06T09:00:00,
V018,06/05/2025 14:00 – Arrived at outer anchorage,ARRIVAL,2025-05-06T14:00:00,
V018,06/05/2025 18:00 – Pilot boarded at anchorage,PILOT_ONBOARD,2025-05-06T18:00:00,
V018,07/05/2025 00:00 – Vessel berthed at Jetty 4,BERTHING,2025-05-07T00:00:00,
V018,07/05/2025 07:00 – Began loading at jetty 4,LOADING_START,2025-05-07T07:00:00,
V018,07/05/2025 13:00 – Finished cargo operations,LOADING_END,,2025-05-07T13:00:00
V018,07/05/2025 18:00 – Vessel shifted to another berth,SHIFTING,2025-05-07T18:00:00,
V018,07/05/2025 22:00 – Started discharging operations,DISCHARGING_START,2025-05-07T22:00:00,
V018,08/05/2025 01:00 – Finished discharging,DISCHARGING_END,,2025-05-08T01:00:00
V018,08/05/2025 07:00 – Vessel departed from port,DEPARTURE,2025-05-08T07:00:00,
V019,09/05/2025 08:00 – Arrived at outer anchorage,ARRIVAL,2025-05-09T08:00:00,
V019,09/05/2025 15:00 – Pilot boarded at anchorage,PILOT_ONBOARD,2025-05-09T15:00:00,
V019,09/05/2025 21:00 – Vessel berthed at Jetty 5,BERTHING,2025-05-09T21:00:00,
V019,09/05/2025 23:00 – Commenced loading cargo,LOADING_START,2025-05-09T23:00:00,
V019,10/05/2025 02:00 – Loading operations ended,LOADING_END,,2025-05-10T02:00:00
V019,10/05/2025 03:00 – Vessel shifted to another berth,SHIFTING,2025-05-10T03:00:00,
V019,10/05/2025 08:00 – Started discharging operations,DISCHARGING_START,2025-05-10T08:00:00,
V019,10/05/2025 13:00 – Discharge ops ended,DISCHARGING_END,,2025-05-10T13:00:00
V019,10/05/2025 17:00 – Vessel left port limits,DEPARTURE,2025-05-10T17:00:00,
V020,11/05/2025 13:00 – Ship reached port anchorage,ARRIVAL,2025-05-11T13:00:00,
V020,11/05/2025 20:00 – Pilot boarded at anchorage,PILOT_ONBOARD,2025-05-11T20:00:00,
V020,12/05/2025 03:00 – Vessel berthed at Jetty 1,BERTHING,2025-05-12T03:00:00,
V020,12/05/2025 10:00 – Loading operations began,LOADING_START,2025-05-12T10:00:00,
V020,12/05/2025 12:00 – Loading operations ended,LOADING_END,,2025-05-12T12:00:00
V020,12/05/2025 20:00 – Vessel shifted to another berth,SHIFTING,2025-05-12T20:00:00,
V020,12/05/2025 23:00 – Started discharging operations,DISCHARGING_START,2025-05-12T23:00:00,
V020,13/05/2025 05:00 – Discharge ops ended,DISCHARGING_END,,2025-05-13T05:00:00
V020,13/05/2025 07:00 – Vessel left port limits,DEPARTURE,2025-05-13T07:00:00,
V021,12/05/2025 12:00 – Arrived at outer anchorage,ARRIVAL,2025-05-12T12:00:00,
V021,12/05/2025 19:00 – Pilot on board,PILOT_ONBOARD,2025-05-12T19:00:00,
V021,13/05/2025 03:00 – Ship alongside berth 1,BERTHING,2025-05-13T03:00:00,
V021,13/05/2025 04:00 – Started cargo operations,LOADING_START,2025-05-13T04:00:00,
V021,13/05/2025 09:00 – Completed loading cargo,LOADING_END,,2025-05-13T09:00:00
V021,13/05/2025 12:00 – Ship moved from jetty 1 to 4,SHIFTING,2025-05-13T12:00:00,
V021,13/05/2025 15:00 – Discharge ops commenced,DISCHARGING_START,2025-05-13T15:00:00,
V021,13/05/2025 19:00 – Discharge ops ended,DISCHARGING_END,,2025-05-13T19:00:00
V021,14/05/2025 02:00 – Ship sailed from berth,DEPARTURE,2025-05-14T02:00:00,
V022,14/05/2025 07:00 – Arrived at outer anchorage,ARRIVAL,2025-05-14T07:00:00,
V022,14/05/2025 12:00 – Pilot on board,PILOT_ONBOARD,2025-05-14T12:00:00,
V022,14/05/2025 16:00 – Ship alongside berth 2,BERTHING,2025-05-14T16:00:00,
V022,14/05/2025 22:00 – Commenced loading cargo,LOADING_START,2025-05-14T22:00:00,
V022,15/05/2025 03:00 – Loading operations ended,LOADING_END,,2025-05-15T03:00:00
V022,15/05/2025 11:00 – Shifting from berth 2 to berth 3,SHIFTING,2025-05-15T11:00:00,
V022,15/05/2025 19:00 – Discharging began at berth 2,DISCHARGING_START,2025-05-15T19:00:00,
V022,15/05/2025 20:00 – Finished discharging,DISCHARGING_END,,2025-05-15T20:00:00
V022,16/05/2025 00:00 – Ship sailed from berth,DEPARTURE,2025-05-16T00:00:00,
V023,15/05/2025 13:00 – Vessel arrived at anchorage,ARRIVAL,2025-05-15T13:00:00,
V023,15/05/2025 14:00 – Pilot on board,PILOT_ONBOARD,2025-05-15T14:00:00,
V023,15/05/2025 15:00 – Secured alongside jetty 5,BERTHING,2025-05-15T15:00:00,
V023,15/05/2025 17:00 – Began loading at jetty 5,LOADING_START,2025-05-15T17:00:00,
V023,15/05/2025 23:00 – Loading operations ended,LOADING_END,,2025-05-15T23:00:00
V023,16/05/2025 04:00 – Shifting from berth 5 to berth 1,SHIFTING,2025-05-16T04:00:00,
V023,16/05/2025 09:00 – Commenced discharging cargo,DISCHARGING_START,2025-05-16T09:00:00,
V023,16/05/2025 15:00 – Finished discharging,DISCHARGING_END,,2025-05-16T15:00:00
V023,16/05/2025 22:00 – Sailed from anchorage,DEPARTURE,2025-05-16T22:00:00,
V024,16/05/2025 11:00 – Ship reached port anchorage,ARRIVAL,2025-05-16T11:00:00,
V024,16/05/2025 14:00 – Pilot embarked vessel,PILOT_ONBOARD,2025-05-16T14:00:00,
V024,16/05/2025 17:00 – All fast at berth 3,BERTHING,2025-05-16T17:00:00,
V024,16/05/2025 21:00 – Started cargo operations,LOADING_START,2025-05-16T21:00:00,
V024,17/05/2025 02:00 – Completed loading cargo,LOADING_END,,2025-05-17T02:00:00
V024,17/05/2025 05:00 – Ship moved from jetty 3 to 1,SHIFTING,2025-05-17T05:00:00,
V024,17/05/2025 11:00 – Started discharging operations,DISCHARGING_START,2025-05-17T11:00:00,
V024,17/05/2025 13:00 – Discharge ops ended,DISCHARGING_END,,2025-05-17T13:00:00
V024,17/05/2025 19:00 – Sailed from anchorage,DEPARTURE,2025-05-17T19:00:00,
V025,17/05/2025 14:00 – Ship reached port anchorage,ARRIVAL,2025-05-17T14:00:00,
V025,17/05/2025 22:00 – Pilot on board,PILOT_ONBOARD,2025-05-17T22:00:00,
V025,18/05/2025 01:00 – Secured alongside jetty 4,BERTHING,2025-05-18T01:00:00,
V025,18/05/2025 09:00 – Began loading at jetty 4,LOADING_START,2025-05-18T09:00:00,
V025,18/05/2025 10:00 – Finished cargo operations,LOADING_END,,2025-05-18T10:00:00
V025,18/05/2025 18:00 – Vessel shifted to another berth,SHIFTING,2025-05-18T18:00:00,
V025,18/05/2025 21:00 – Discharging began at berth 4,DISCHARGING_START,2025-05-18T21:00:00,
V025,19/05/2025 03:00 – Finished discharging,DISCHARGING_END,,2025-05-19T03:00:00
V025,19/05/2025 06:00 – Vessel departed from port,DEPARTURE,2025-05-19T06:00:00,
V026,20/05/2025 07:00 – Ship reached port anchorage,ARRIVAL,2025-05-20T07:00:00,
V026,20/05/2025 08:00 – Pilot joined ship,PILOT_ONBOARD,2025-05-20T08:00:00,
V026,20/05/2025 09:00 – Vessel berthed at Jetty 1,BERTHING,2025-05-20T09:00:00,
V026,20/05/2025 17:00 – Began loading at jetty 1,LOADING_START,2025-05-20T17:00:00,
V026,20/05/2025 20:00 – Cargo loading completed,LOADING_END,,2025-05-20T20:00:00
V026,21/05/2025 00:00 – Shifting from berth 1 to berth 2,SHIFTING,2025-05-21T00:00:00,
V026,21/05/2025 07:00 – Started discharging operations,DISCHARGING_START,2025-05-21T07:00:00,
V026,21/05/2025 12:00 – Completed discharging cargo,DISCHARGING_END,,2025-05-21T12:00:00
V026,21/05/2025 16:00 – Ship sailed from berth,DEPARTURE,2025-05-21T16:00:00,
V027,21/05/2025 07:00 – Anchored at port limits,ARRIVAL,2025-05-21T07:00:00,
V027,21/05/2025 13:00 – Pilot on board,PILOT_ONBOARD,2025-05-21T13:00:00,
V027,21/05/2025 21:00 – Vessel berthed at Jetty 2,BERTHING,2025-05-21T21:00:00,
V027,22/05/2025 04:00 – Began loading at jetty 2,LOADING_START,2025-05-22T04:00:00,
V027,22/05/2025 07:00 – Completed loading cargo,LOADING_END,,2025-05-22T07:00:00
V027,22/05/2025 14:00 – Vessel shifted to another berth,SHIFTING,2025-05-22T14:00:00,
V027,22/05/2025 21:00 – Commenced discharging cargo,DISCHARGING_START,2025-05-22T21:00:00,
V027,23/05/2025 01:00 – Discharge ops ended,DISCHARGING_END,,2025-05-23T01:00:00
V027,23/05/2025 05:00 – Ship sailed from berth,DEPARTURE,2025-05-23T05:00:00,
V028,23/05/2025 12:00 – Ship reached port anchorage,ARRIVAL,2025-05-23T12:00:00,
V028,23/05/2025 13:00 – Pilot embarked vessel,PILOT_ONBOARD,2025-05-23T13:00:00,
V028,23/05/2025 19:00 – Secured alongside jetty 3,BERTHING,2025-05-23T19:00:00,
V028,24/05/2025 01:00 – Loading operations began,LOADING_START,2025-05-24T01:00:00,
V028,24/05/2025 03:00 – Completed loading cargo,LOADING_END,,2025-05-24T03:00:00
V028,24/05/2025 07:00 – Shifting from berth 3 to berth 5,SHIFTING,2025-05-24T07:00:00,
V028,24/05/2025 08:00 – Discharging began at berth 3,DISCHARGING_START,2025-05-24T08:00:00,
V028,24/05/2025 13:00 – Discharge ops ended,DISCHARGING_END,,2025-05-24T13:00:00
V028,24/05/2025 18:00 – Sailed from anchorage,DEPARTURE,2025-05-24T18:00:00,
V029,25/05/2025 08:00 – Anchored at port limits,ARRIVAL,2025-05-25T08:00:00,
V029,25/05/2025 10:00 – Pilot on board,PILOT_ONBOARD,2025-05-25T10:00:00,
V029,25/05/2025 15:00 – Ship alongside berth 5,BERTHING,2025-05-25T15:00:00,
V029,25/05/2025 19:00 – Loading operations began,LOADING_START,2025-05-25T19:00:00,
V029,25/05/2025 22:00 – Loading operations ended,LOADING_END,,2025-05-25T22:00:00
V029,26/05/2025 06:00 – Shifted alongside berth {jetty2},SHIFTING,2025-05-26T06:00:00,
V029,26/05/2025 07:00 – Discharging began at berth 5,DISCHARGING_START,2025-05-26T07:00:00,
V029,26/05/2025 13:00 – Discharge ops ended,DISCHARGING_END,,2025-05-26T13:00:00
V029,26/05/2025 18:00 – Sailed from anchorage,DEPARTURE,2025-05-26T18:00:00,
V030,27/05/2025 10:00 – Anchored at port limits,ARRIVAL,2025-05-27T10:00:00,
V030,27/05/2025 16:00 – Pilot on board,PILOT_ONBOARD,2025-05-27T16:00:00,
V030,27/05/2025 19:00 – Ship alongside berth 4,BERTHING,2025-05-27T19:00:00,
V030,27/05/2025 21:00 – Commenced loading cargo,LOADING_START,2025-05-27T21:00:00,
V030,27/05/2025 22:00 – Cargo loading completed,LOADING_END,,2025-05-27T22:00:00
V030,28/05/2025 05:00 – Shifting from berth 4 to berth 1,SHIFTING,2025-05-28T05:00:00,
V030,28/05/2025 13:00 – Commenced discharging cargo,DISCHARGING_START,2025-05-28T13:00:00,
V030,28/05/2025 19:00 – Completed discharging cargo,DISCHARGING_END,,2025-05-28T19:00:00
V030,29/05/2025 03:00 – Ship sailed from berth,DEPARTURE,2025-05-29T03:00:00,
V031,28/05/2025 14:00 – Arrived at outer anchorage,ARRIVAL,2025-05-28T14:00:00,
V031,28/05/2025 20:00 – Pilot embarked vessel,PILOT_ONBOARD,2025-05-28T20:00:00,
V031,28/05/2025 23:00 – Vessel berthed at Jetty 2,BERTHING,2025-05-28T23:00:00,
V031,29/05/2025 01:00 – Commenced loading cargo,LOADING_START,2025-05-29T01:00:00,
V031,29/05/2025 04:00 – Completed loading cargo,LOADING_END,,2025-05-29T04:00:00
V031,29/05/2025 12:00 – Vessel shifted to another berth,SHIFTING,2025-05-29T12:00:00,
V031,29/05/2025 19:00 – Started discharging operations,DISCHARGING_START,2025-05-29T19:00:00,
V031,29/05/2025 23:00 – Completed discharging cargo,DISCHARGING_END,,2025-05-29T23:00:00
V031,30/05/2025 05:00 – Vessel departed from port,DEPARTURE,2025-05-30T05:00:00,
V032,29/05/2025 08:00 – Ship reached port anchorage,ARRIVAL,2025-05-29T08:00:00,
V032,29/05/2025 10:00 – Pilot boarded at anchorage,PILOT_ONBOARD,2025-05-29T10:00:00,
V032,29/05/2025 15:00 – Secured alongside jetty 5,BERTHING,2025-05-29T15:00:00,
V032,29/05/2025 16:00 – Started cargo operations,LOADING_START,2025-05-29T16:00:00,
V032,29/05/2025 19:00 – Completed loading cargo,LOADING_END,,2025-05-29T19:00:00
V032,29/05/2025 23:00 – Ship moved from jetty 5 to 2,SHIFTING,2025-05-29T23:00:00,
V032,30/05/2025 01:00 – Started discharging operations,DISCHARGING_START,2025-05-30T01:00:00,
V032,30/05/2025 02:00 – Discharge ops ended,DISCHARGING_END,,2025-05-30T02:00:00
V032,30/05/2025 07:00 – Ship sailed from berth,DEPARTURE,2025-05-30T07:00:00,
V033,31/05/2025 09:00 – Ship reached port anchorage,ARRIVAL,2025-05-31T09:00:00,
V033,31/05/2025 15:00 – Pilot on board,PILOT_ONBOARD,2025-05-31T15:00:00,
V033,31/05/2025 20:00 – Vessel berthed at Jetty 3,BERTHING,2025-05-31T20:00:00,
V033,31/05/2025 22:00 – Began loading at jetty 3,LOADING_START,2025-05-31T22:00:00,
